model,split,n,cer,wer,der,timestamp
paddle_finetuned,test,493,0.9741,1.0507,0.8097,2026-04-14T07:35:52.790641+00:00
paddle_finetuned,test,493,0.9741,1.0507,0.8097,2026-04-14T07:37:53.652126+00:00
baseline_english_pretrained,test,493,1.0043,0.9998,0.9143,2026-04-14T07:57:17.908746+00:00
tesseract_eng,test,493,1.5072,1.6747,0.7701,2026-04-14T08:13:44.624765+00:00
tesseract_yor,test,493,1.6215,1.8001,0.7826,2026-04-14T08:14:24.218978+00:00
tesseract_eng+yor,test,493,1.5247,1.7526,0.7756,2026-04-14T08:15:34.380313+00:00
tesseract_eng,test,493,1.5072,1.6747,0.7701,2026-04-14T19:06:45.016960+00:00
tesseract_yor,test,493,1.6215,1.8001,0.7826,2026-04-14T19:07:26.040215+00:00
tesseract_eng+yor,test,493,1.5247,1.7526,0.7756,2026-04-14T19:11:15.482872+00:00
baseline_english_pretrained,test,493,1.0201,1.0081,0.8923,2026-04-15T08:06:00.900281+00:00
finetuned_paddleocr_v1,test,493,0.9611,1.0121,0.8132,2026-04-15T08:06:30.776167+00:00
baseline_english_pretrained,test,493,1.0021,1.0,0.8982,2026-04-15T08:09:34.951672+00:00
tesseract_eng,test,493,1.5072,1.6747,0.7701,2026-04-15T08:10:21.906279+00:00
tesseract_yor,test,493,1.6215,1.8001,0.7826,2026-04-15T08:11:00.158125+00:00
tesseract_eng+yor,test,493,1.5247,1.7526,0.7756,2026-04-15T08:12:18.532027+00:00
ablation_data_size_025pct_val,val,350,1.1452,1.1629,0.8781,2026-04-15T08:53:59.212557+00:00
ablation_data_size_025pct_test,test,493,1.2059,1.1675,0.8088,2026-04-15T08:54:36.192377+00:00
ablation_data_size_050pct_val,val,350,0.991,1.1786,0.8119,2026-04-15T09:08:09.125424+00:00
ablation_data_size_050pct_test,test,493,1.0392,1.1871,0.8081,2026-04-15T09:08:42.682388+00:00
ablation_data_size_075pct_val,val,350,1.0093,1.1773,0.8494,2026-04-15T09:23:24.699874+00:00
ablation_data_size_075pct_test,test,493,1.0219,1.1976,0.8427,2026-04-15T09:23:54.775208+00:00
ablation_data_size_100pct_val,val,350,0.9735,1.0995,0.8358,2026-04-15T09:45:46.377267+00:00
ablation_data_size_100pct_test,test,493,0.9935,1.1295,0.7702,2026-04-15T09:46:18.849679+00:00
ablation_dict_english_dict_val,val,350,1.1635,1.0086,1.0382,2026-04-15T10:44:55.776867+00:00
ablation_dict_english_dict_test,test,493,1.3614,1.0,1.0442,2026-04-15T10:45:31.612313+00:00
ablation_aug_with_aug_val,val,350,0.9589,1.0357,0.7829,2026-04-15T11:03:56.310465+00:00
ablation_aug_with_aug_test,test,493,1.0163,1.0792,0.8008,2026-04-15T11:04:35.539743+00:00
ablation_aug_no_aug_val,val,350,0.9521,1.0086,0.8245,2026-04-15T11:18:17.725946+00:00
ablation_aug_no_aug_test,test,493,0.9697,1.0467,0.7755,2026-04-15T11:18:55.691859+00:00
