model,book_source,n,cer_pct,wer_pct,der_pct,der_n
paddleocr_vl15_lora_finetuned,Yorùbá di Wúrà,8,82.8,95.6,60.3,8
paddleocr_vl15_lora_finetuned,Yorùbá di Wúrà Book Five,2,45.3,50.0,51.5,2
paddleocr_vl15_lora_finetuned,Yorùbá di Wúrà Book Four,87,86.1,107.7,61.2,83
paddleocr_vl15_lora_finetuned,Yorùbá di Wúrà Book One,38,98.4,119.5,81.0,38
paddleocr_vl15_lora_finetuned,Yorùbá di Wúrà Book Three,90,114.7,153.7,62.0,89
paddleocr_vl15_lora_finetuned,Yorùbá di Wúrà Book Two,83,91.2,113.0,72.7,81
paddleocr_vl15_lora_finetuned,Yorùbá di Wúrà Book five,3,62.6,116.7,55.0,3
paddleocr_vl15_lora_finetuned,Yorùbá di wúrà,15,93.5,109.4,80.4,15
tesseract_yor,Yorùbá di Wúrà,8,83.9,96.9,87.9,8
tesseract_yor,Yorùbá di Wúrà Book Five,2,92.5,100.0,100.0,2
tesseract_yor,Yorùbá di Wúrà Book Four,87,100.5,125.5,84.8,83
tesseract_yor,Yorùbá di Wúrà Book One,38,119.6,162.1,96.9,38
tesseract_yor,Yorùbá di Wúrà Book Three,90,156.6,218.9,83.4,89
tesseract_yor,Yorùbá di Wúrà Book Two,83,124.5,162.3,91.7,81
tesseract_yor,Yorùbá di Wúrà Book five,3,92.5,138.9,75.0,3
tesseract_yor,Yorùbá di wúrà,15,113.0,114.7,95.1,15
tesseract_eng,Yorùbá di Wúrà,8,86.7,98.8,97.4,8
tesseract_eng,Yorùbá di Wúrà Book Five,2,93.4,100.0,100.0,2
tesseract_eng,Yorùbá di Wúrà Book Four,87,100.0,127.3,98.6,83
tesseract_eng,Yorùbá di Wúrà Book One,38,119.8,153.8,99.7,38
tesseract_eng,Yorùbá di Wúrà Book Three,90,152.2,204.0,97.5,89
tesseract_eng,Yorùbá di Wúrà Book Two,83,114.5,141.5,98.8,81
tesseract_eng,Yorùbá di Wúrà Book five,3,96.6,138.9,95.0,3
tesseract_eng,Yorùbá di wúrà,15,107.9,106.0,100.0,15
ablation_data_size_100pct_test,Yorùbá di Wúrà,8,97.8,100.0,99.1,8
ablation_data_size_100pct_test,Yorùbá di Wúrà Book Five,2,95.8,100.0,97.0,2
ablation_data_size_100pct_test,Yorùbá di Wúrà Book Four,87,95.0,101.2,94.6,83
ablation_data_size_100pct_test,Yorùbá di Wúrà Book One,38,95.5,100.0,94.4,38
ablation_data_size_100pct_test,Yorùbá di Wúrà Book Three,90,89.1,110.3,84.7,89
ablation_data_size_100pct_test,Yorùbá di Wúrà Book Two,83,93.1,100.9,94.5,81
ablation_data_size_100pct_test,Yorùbá di Wúrà Book five,3,100.0,100.0,95.0,3
ablation_data_size_100pct_test,Yorùbá di wúrà,15,97.7,100.0,85.3,15
paddleocr_vl15_zero_shot,Yorùbá di Wúrà,8,81.7,94.9,90.5,8
paddleocr_vl15_zero_shot,Yorùbá di Wúrà Book Five,2,37.6,152.3,42.4,2
paddleocr_vl15_zero_shot,Yorùbá di Wúrà Book Four,87,308.9,426.4,211.4,83
paddleocr_vl15_zero_shot,Yorùbá di Wúrà Book One,38,586.2,1132.2,416.2,38
paddleocr_vl15_zero_shot,Yorùbá di Wúrà Book Three,90,903.8,1296.9,108.5,89
paddleocr_vl15_zero_shot,Yorùbá di Wúrà Book Two,83,378.7,501.4,236.5,81
paddleocr_vl15_zero_shot,Yorùbá di Wúrà Book five,3,413.1,2200.0,70.0,3
paddleocr_vl15_zero_shot,Yorùbá di wúrà,15,881.2,1866.7,108.8,15
