model,density_quartile,n,cer_pct,wer_pct,der_pct,der_n
paddleocr_vl15_lora_finetuned,q1_low,88,91.5,114.9,79.4,81
paddleocr_vl15_lora_finetuned,q2,80,79.8,96.4,61.4,80
paddleocr_vl15_lora_finetuned,q3,79,104.1,126.8,68.5,79
paddleocr_vl15_lora_finetuned,q4_high,79,111.5,153.6,56.7,79
tesseract_yor,q1_low,88,113.5,144.1,89.5,81
tesseract_yor,q2,80,96.2,118.3,87.3,80
tesseract_yor,q3,79,99.7,119.6,87.5,79
tesseract_yor,q4_high,79,189.6,275.5,86.9,79
tesseract_eng,q1_low,88,107.6,137.0,97.7,81
tesseract_eng,q2,80,96.0,117.1,98.8,80
tesseract_eng,q3,79,98.5,117.9,98.2,79
tesseract_eng,q4_high,79,181.1,244.3,99.3,79
ablation_data_size_100pct_test,q1_low,88,93.1,99.6,91.8,81
ablation_data_size_100pct_test,q2,80,91.8,97.8,90.6,80
ablation_data_size_100pct_test,q3,79,93.6,101.5,92.8,79
ablation_data_size_100pct_test,q4_high,79,94.2,115.2,91.9,79
paddleocr_vl15_zero_shot,q1_low,88,218.9,360.5,188.8,81
paddleocr_vl15_zero_shot,q2,80,171.6,184.1,135.4,80
paddleocr_vl15_zero_shot,q3,79,452.2,587.5,164.2,79
paddleocr_vl15_zero_shot,q4_high,79,1372.1,2294.4,363.6,79
